date,temperature_c,precipitation_mm,humidity_pct
2026-02-01,1.8,0.0,71
2026-02-02,-0.5,5.1,79
2026-02-03,-0.8,0.0,71
2026-02-04,-2.4,0.0,69
2026-02-05,0.4,0.7,88
2026-02-06,3.5,7.4,82
2026-02-07,4.5,0.0,73
2026-02-08,2.0,15.2,83
2026-02-09,0.2,,78
2026-02-10,6.0,,74
2026-02-11,5.1,,71
2026-02-12,2.3,,84
2026-02-13,2.4,12.4,83
2026-02-14,2.1,0.0,67
2026-02-15,2.4,0.0,67
2026-02-16,,4.2,82
2026-02-17,3.9,0.0,74
2026-02-18,1.1,0.0,70
2026-02-19,2.2,7.0,78
2026-02-20,3.0,3.0,84
2026-02-21,1.7,0.0,71
2026-02-22,1.5,11.4,81
2026-02-23,3.1,0.0,75
2026-02-24,2.1,0.6,77
2026-02-25,,1.7,86
2026-02-26,5.0,1.2,76
2026-02-27,2.0,0.3,82
2026-02-28,-0.8,0.0,76
