date,temperature_c,precipitation_mm,humidity_pct
2026-02-01,1.8,0.0,79
2026-02-02,1.0,0.0,75
2026-02-03,-0.3,2.3,89
2026-02-04,0.6,4.3,82
2026-02-05,0.6,0.0,78
2026-02-06,3.0,,78
2026-02-07,1.3,0.0,75
2026-02-08,2.1,0.0,70
2026-02-09,5.5,0.0,71
2026-02-10,6.2,0.0,74
2026-02-11,7.4,,83
2026-02-12,5.9,0.0,74
2026-02-13,4.9,0.0,73
2026-02-14,1.3,9.5,82
2026-02-15,5.3,0.0,74
2026-02-16,4.5,1.2,84
2026-02-17,6.6,0.0,68
2026-02-18,6.8,12.8,78
2026-02-19,4.4,0.0,78
2026-02-20,2.9,1.1,82
2026-02-21,4.0,6.2,81
2026-02-22,4.3,0.0,74
2026-02-23,5.1,0.6,86
2026-02-24,4.5,0.7,82
2026-02-25,4.6,0.0,73
2026-02-26,7.1,0.0,69
2026-02-27,6.8,0.0,77
2026-02-28,7.3,3.9,88
