date,temperature_c,precipitation_mm,humidity_pct
2026-01-01,3.2,4.1,82
2026-01-02,2.8,0.0,80
2026-01-03,4.0,1.2,78
2026-01-04,5.1,0.0,76
2026-01-05,4.7,2.5,79
2026-01-06,3.9,0.4,81
2026-01-07,2.5,6.8,85
2026-01-08,1.9,1.0,84
2026-01-09,2.2,0.0,83
2026-01-10,3.6,3.4,80
2026-01-11,4.1,0.0,77
2026-01-12,5.4,0.8,75
2026-01-13,6.0,1.1,74
2026-01-14,5.5,0.0,73
2026-01-15,4.8,2.9,76
2026-01-16,4.2,5.6,79
2026-01-17,3.7,0.0,81
2026-01-18,3.1,0.0,82
2026-01-19,2.6,4.4,84
2026-01-20,2.0,7.2,86
2026-01-21,1.8,0.2,87
2026-01-22,2.4,0.0,85
2026-01-23,3.3,1.5,83
2026-01-24,4.5,0.0,80
2026-01-25,5.2,0.6,78
2026-01-26,6.1,3.8,76
2026-01-27,5.8,0.0,75
2026-01-28,4.9,2.2,77
2026-01-29,4.0,1.0,79
2026-01-30,3.4,0.0,81
2026-01-31,2.7,5.1,84
